city,lat,lng,Province
Anyang,23.938,108.0977,广西
Beijing,39.905,116.3914,北京
Changchun,43.9,125.2,吉林
Changsha,28.1987,112.9709,湖南
Changzhou,31.8122,119.9692,江苏
Chengdu,30.6636,104.0667,四川
Chongqing,29.55,106.5069,重庆
Dongguan,23.0475,113.7493,广东
Foshan,23.0292,113.1056,广东
Fuzhou,26.0769,119.2917,福建
Guangzhou,23.1288,113.259,广东
Guiyang,26.5794,106.7078,贵州
Haikou,20.02,110.32,海南
Hangzhou,30.25,120.1675,浙江
Harbin,45.75,126.6333,黑龙江
Hefei,31.8639,117.2808,安徽
Hegang,47.3139,130.2775,黑龙江
Hohhot,40.8151,111.6629,内蒙古
Jieyang,23.5533,116.3649,广东
Jinan,36.6667,116.9833,山东
Kunming,25.0433,102.7061,云南
Lanzhou,36.0617,103.8318,甘肃
Lhasa,29.65,91.1,西藏
Nanchang,28.6842,115.8872,江西
Nanjing,32.05,118.7667,江苏
Nanning,22.8192,108.315,广西
Qingdao,36.1167,120.4,山东
Qiqihar,47.3398,123.9512,黑龙江
Shanghai,31.1667,121.4667,上海
Shantou,23.3735,116.6941,广东
Shenyang,41.8039,123.4258,辽宁
Shenzhen,22.535,114.054,广东
Shijiazhuang,38.0422,114.5086,河北
Suzhou,31.304,120.6164,江苏
Taiyuan,37.8733,112.5425,山西
Tianjin,39.1467,117.2056,天津
Urumuqi,43.825,87.6,新疆
Wuhan,30.5872,114.2881,湖北
Wuxi,31.5667,120.2833,江苏
Xi'an,34.2667,108.9,陕西
Xiamen,24.4797,118.0819,福建
Xining,36.6239,101.7787,青海
Yinchuan,38.4795,106.2254,宁夏
Zhengzhou,34.7492,113.6605,河南
Zhuzhou,27.8407,113.1469,湖南
